Accession,Length,Protein,Geo_Location,Collection_Date
QMT57056,1273,surface glycoprotein,"USA: Washington,Snohomish County",2020-06-20
QMT57068,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-17
QMT57080,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57104,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-18
QMT57116,1273,surface glycoprotein,"USA: Washington,Snohomish County",2020-06-20
QMT57128,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-18
QMT57140,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-22
QMT57152,1273,surface glycoprotein,"USA: Washington,Snohomish County",2020-06-20
QMT57164,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-18
QMT57176,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-12
QMT57188,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-17
QMT57200,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-17
QMT57212,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-18
QMT57224,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-13
QMT57236,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-10
QMT57248,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-17
QMT57260,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57284,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-15
QMT57296,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-13
QMT57308,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-17
QMT57320,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57332,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-13
QMT57344,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-21
QMT57368,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-18
QMT57380,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-20
QMT57392,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-11
QMT57404,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-18
QMT57416,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-14
QMT57428,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-15
QMT57440,1273,surface glycoprotein,"USA: Washington,Pierce County",2020-06-23
QMT57452,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-18
QMT57464,1273,surface glycoprotein,"USA: Washington,Cowlitz County",2020-06-19
QMT57476,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-15
QMT57500,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-13
QMT57512,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57524,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57536,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-14
QMT57548,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57560,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-17
QMT57572,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57584,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57596,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57608,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-15
QMT57632,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-17
QMT57644,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57656,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-16
QMT57668,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-15
QMT57680,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-13
QMT57692,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-14
QMT57704,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-12
QMT91156,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91180,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91192,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91204,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91228,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91240,1273,surface glycoprotein,"USA: Washington,Whatcom County",2020-05-26
QMT91252,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT91264,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT91276,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT91288,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91324,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT91348,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT91360,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT91372,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT91384,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91396,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91408,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-30
QMT91420,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-24
QMT91432,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91444,1273,surface glycoprotein,"USA: Washington,Benton County",2020-05-27
QMT91480,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91492,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91504,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT91516,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT91528,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-30
QMT91540,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT91552,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT91564,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91576,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91588,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT91600,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT91612,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT91624,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-21
QMT91636,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT91648,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91660,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT91672,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91684,1273,surface glycoprotein,"USA: Washington,Spokane County",2020-06-03
QMT91696,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT91708,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91720,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91732,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91744,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91756,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91768,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT91780,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT91792,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91804,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-21
QMT91816,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT91828,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-30
QMT91840,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT91852,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT91864,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT91888,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91900,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT91912,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT91924,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT91936,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT91948,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91960,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT91972,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT91984,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT91996,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT92008,1273,surface glycoprotein,"USA: Washington,Spokane County",2020-06-02
QMT92020,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92032,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92044,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92056,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT92068,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92080,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT92092,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92104,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92116,1273,surface glycoprotein,"USA: Washington,Pierce County",2020-05-26
QMT92128,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT92140,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-30
QMT92152,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92164,1273,surface glycoprotein,"USA: Washington,Spokane County",2020-06-02
QMT92176,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92188,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92200,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT92212,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92224,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92236,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT92248,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT92260,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT92284,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-21
QMT92296,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92308,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT92320,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT92344,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-30
QMT92356,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92368,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT92380,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT92392,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-21
QMT92404,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT92428,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92440,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92452,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT92464,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92476,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92488,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT92500,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT92512,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92524,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92536,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92548,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT92560,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT92572,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT92584,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92596,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92608,1273,surface glycoprotein,"USA: Washington,Spokane County",2020-06-01
QMT92620,1273,surface glycoprotein,"USA: Washington,Whatcom County",2020-05-27
QMT92644,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT92656,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT92668,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92692,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92704,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT92716,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92728,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92740,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92752,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92764,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92776,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92788,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT92800,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92812,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT92824,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT92848,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT92860,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT92872,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-30
QMT92884,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT92896,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92908,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT92920,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT92932,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT92944,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT92956,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT92968,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT92980,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT92992,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93004,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT93016,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT93028,1273,surface glycoprotein,"USA: Washington,Benton County",2020-05-26
QMT93040,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93052,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT93064,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93076,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT93088,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT93100,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93112,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93136,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT93148,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT93160,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT93172,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93184,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT93196,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT93208,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93220,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93244,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT93256,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT93268,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93280,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT93292,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT93304,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93316,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-21
QMT93328,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT93352,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT93364,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93376,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT93388,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93400,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93412,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93424,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93436,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT93460,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93472,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-21
QMT93484,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-24
QMT93496,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93508,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT93520,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT93532,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-23
QMT93544,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT93556,1273,surface glycoprotein,"USA: Washington,Whatcom County",2020-05-28
QMT93568,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT93580,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT93592,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93604,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT93616,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT93628,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-30
QMT93640,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93652,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT93664,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT93676,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-25
QMT93688,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-30
QMT93700,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT93712,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT93724,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT93736,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-24
QMT93748,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93760,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93772,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93784,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT93796,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT93820,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93832,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT93844,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT93856,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93868,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT93880,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT93892,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT93904,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT93916,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT93928,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93940,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT93952,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT93964,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT93976,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT94000,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94012,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94024,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94036,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94048,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT94072,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT94096,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94108,1273,surface glycoprotein,"USA: Washington,Spokane County",2020-06-03
QMT94132,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94144,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94156,1273,surface glycoprotein,"USA: Washington,Spokane County",2020-06-01
QMT94168,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-25
QMT94180,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94192,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94204,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94216,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT94228,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94252,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94264,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-30
QMT94276,1273,surface glycoprotein,"USA: Washington,Thurston County",2020-05-27
QMT94288,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-23
QMT94300,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT94312,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94324,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94336,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94348,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT94360,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT94372,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-22
QMT94384,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-21
QMT94396,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94408,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT94420,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94432,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94444,1273,surface glycoprotein,"USA: Washington,Whatcom County",2020-05-23
QMT94456,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT94468,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94480,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94492,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT94504,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94516,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94528,1273,surface glycoprotein,"USA: Washington,Spokane County",2020-06-02
QMT94552,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94564,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT94576,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94588,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94600,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94612,1273,surface glycoprotein,USA: Washington,2020-05-27
QMT94624,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-21
QMT94648,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT94660,1273,surface glycoprotein,"USA: Washington,Thurston County",2020-05-27
QMT94672,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94684,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT94696,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT94708,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT94720,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94732,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT94756,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94768,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT94780,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94792,1273,surface glycoprotein,"USA: Washington,Grays Harbor County",2020-05-27
QMT94804,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94816,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94828,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT94840,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT94852,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT94864,1273,surface glycoprotein,"USA: Washington,Whatcom County",2020-05-27
QMT94876,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94888,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94900,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-31
QMT94912,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94924,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT94936,1273,surface glycoprotein,"USA: Washington,Thurston County",2020-05-27
QMT94948,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT94960,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-29
QMT94972,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT94984,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT94996,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT95020,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT95032,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-28
QMT95044,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-23
QMT95068,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT95080,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT95092,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-23
QMT95104,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT95116,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT95128,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT95140,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-27
QMT95152,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT95164,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
QMT95176,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-05-26
QMT95200,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-01
